Reviewer,Contributions,Score,Review Text,Date
LPM84BrumToon,LPM84BrumToon,5.0,Gorgeous stations and journey,2022-09-01
Sam,Sam,4.0,WAW,2022-12-01
entymon,entymon,3.0,Warsaw Underground,2022-08-01
GosiaKJ,GosiaKJ,3.0,Good way to commute,2022-08-01
Ozan Karahan,Ozan Karahan,3.0,Warsaw Metro,2022-05-01
sptor,sptor,5.0,"Simple, efficient and affordable",2022-07-01
John B,John B,4.0,A good way to get around,2020-02-01
Ricardo R,Ricardo R,5.0,Very efficient,2019-10-01
D L,D L,5.0,Very cheap and efficient,2019-09-01
Thomas L,Thomas L,3.0,Depends on the day!,2019-09-01
Cheryl j,Cheryl j,5.0,Free to 70 and over,2019-08-01
TravelTexan1,TravelTexan1,5.0,Inexpensive and efficient,2019-06-01
Ana-Maria B,Ana-Maria B,5.0,Efficient and affordable,2018-07-01
FEMLP,FEMLP,4.0,Easy to use,2018-07-01
Tupelo010835,Tupelo010835,5.0,Astonishing Clean,2018-06-01
MeMatkoilla,MeMatkoilla,4.0,Nice subway,2017-12-01
Mark E,Mark E,4.0,good system,2017-05-01
Edward W,Edward W,4.0,Means to an end,2017-05-01
Wilfred P,Wilfred P,4.0,It is important to buy the one day pass ticket,2017-05-01
KweqSmanit,KweqSmanit,5.0,Easy to use and low cost,2017-04-01
Jack S,Jack S,4.0,It is New,2017-04-01
Menq,Menq,4.0,"Fast, modern and cheap",2017-02-01
TheShis,TheShis,3.0,Nothing extraordinary.,2016-10-01
Mariana Aguiar,Mariana Aguiar,5.0,"Clean, efficient and cheap",2016-08-01
Aleksandar,Aleksandar,5.0,Clean and new,2016-10-01
Gargio76,Gargio76,3.0,To be seen,2016-09-01
